id,levelId,name,description,components,skills,images,videoUrl,tutorialUrl
kit-inicial-1,inicial-1,Kit Inicial 1 - Mis Primeras Luces,"Kit para niños de 3-4 años con LEDs, cables y componentes seguros","LEDs de colores, Cables de conexión, Pila CR2032, Porta pila, Stickers, Cinta conductora, Tarjetas ilustradas, Caja organizadora, Guía para padres","Introducción a circuitos básicos, Reconocimiento de colores, Motricidad fina","https://drive.google.com/uc?export=view&id=1j9PC18mcxTK1iG0jKpomPItKS3W2oFta,https://drive.google.com/uc?export=view&id=1lqvCi1lTfcN-lI5X8vkq6r3Jk9QO1_lm,https://drive.google.com/uc?export=view&id=1i42AvvZQx6D4H5Nqqi5H0LRKc1Qqsh6z,https://drive.google.com/uc?export=view&id=1bj-aUrpPBqkYAukYxs7bHM-O_FovrhOz,https://drive.google.com/uc?export=view&id=1MaME0PjBkqvVsKmsamlUlNrGX2Ih8hjJ,https://drive.google.com/uc?export=view&id=1STa9iqY6p_TZR8z6CeZpcXj4qeEddpuR",,
kit-inicial-2,inicial-2,Kit Inicial,"Kit Inicial: Led, cables jumper, pila CR 2032, Adhesivo Temático de robótica y circuitos, Cinta de cobre y Generador heólico","LED, Cables jumper, Pila CR 2032, Adhesivo temático, Cinta de cobre, Generador eólico, Caja de Herramientas Plástica","Kit Inicial, Cinta y Generador heólico. Introducción a circuitos básicos.",,,
kit-primero-egb,primero-egb,Kit 3 Robots Preparatoria,"Kit 3 Robots: Robot Con articulaciones (Motor - engranajes plásticos, port apila, cables de conexión, topes plásticos), Robot pintor, robot 4x4","Robot con articulaciones, Motor con engranajes plásticos, Port apila, Cables de conexión, Topes plásticos, Robot pintor, Robot 4x4, Caja de Herramientas Plástica","Lectoescritura inicial con enfoque en vocabulario STEM. Comprensión de números y operaciones básicas, incluyendo conceptos de medición y lógica.",,,
kit-segundo-egb,segundo-egb,Kit 3 Robots Elemental,"Kit 3 robots: Robot radiocontrolado, Robot navegación acuática, Lámpara Moderna","Robot radiocontrolado, Robot navegación acuática, Lámpara Moderna, Caja de Herramientas Plástica","Fortalecimiento de la lectoescritura y habilidades de comunicación. Aplicación de conceptos matemáticos en proyectos de robótica y electrónica.",,,
kit-tercero-egb,tercero-egb,Kit 3 Robots Elemental,"Kit 3 robots: Robot Escalador, Carucel, Robot Heólico","Robot Escalador, Carucel, Robot Heólico, Caja de Herramientas Plástica","Fortalecimiento de la lectoescritura y habilidades de comunicación. Programación de robots para realizar tareas simples.",,,
kit-cuarto-egb,cuarto-egb,Kit Rueda de la Fortuna + FM,"Kit Rueda de la fortuna, FM 76-108MHz","Rueda de la fortuna, Radio FM 76-108MHz, Caja de Herramientas Plástica","Aplicación de conceptos matemáticos en proyectos de robótica y electrónica. Resolución de problemas a través de proyectos STEM.",,,
kit-quinto-egb,quinto-egb,Kit Rueda + Radio RF-FM,"Kit Rueda de la fortuna, Radio RF - FM","Rueda de la fortuna, Radio RF-FM, Caja de Herramientas Plástica","Fortalecimiento de habilidades de comunicación. Programación de robots para realizar tareas simples.",,,
kit-sexto-egb,sexto-egb,Kit Robot 4 en 1 + Circuito,"Kit: Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY","Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY, Caja de Herramientas Plástica","Lectura comprensiva y producción de textos relacionados con STEM. Construcción y programación de robots más complejos.",,,
kit-septimo-egb,septimo-egb,Kit Robot 4 en 1 + Avión,"Kit: Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY","Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY, Caja de Herramientas Plástica","Resolución de problemas matemáticos aplicados a proyectos de robótica. Experimentación con circuitos electrónicos.",,,
kit-octavo-egb,octavo-egb,Carro Bluetooth WiFi ESP32,"Carro Bluetooth con tb6612fng, Esp32 de 30 pines, adaptador de batería, switch 3 terminales, Cables jumper, 2 motores reductores TT, Placa electrónica controladora, chassis impreso en 3D","TB6612FNG, ESP32 30 pines, Adaptador batería, Switch 3 terminales, Cables jumper M_M/M-H/H-H, 2 Motores reductores TT, Placa controladora, Chassis 3D, Tornillos m3, Caja de Herramientas Plástica","Carro Bluetooth con WiFi. Programación avanzada con ESP32.",,,
kit-noveno-egb,noveno-egb,Seguidor de Línea 2 Sensores,"Seguidor de línea con 2 Sensores infrarrojos, tb6612fng, Esp super mini, adaptador de batería, switch, Cables jumper, 2 motores reductores TT, Placa controladora, chassis impreso en 3D","2 Sensores infrarrojos, TB6612FNG, ESP Super Mini, Adaptador batería, Switch, Cables jumper, 2 Motores TT, Placa controladora, Chassis 3D, Tornillos m3, Caja de Herramientas Plástica","Seguidor de línea 2. Programación de sensores infrarrojos.",,,
kit-decimo-egb,decimo-egb,Robot Evita Obstáculos,"Robot Evita Obstáculos con 1 Sensor ultrasónico, tb6612fng, Esp32 de 30 pines, adaptador de batería, switch, Cables jumper, 2 motores reductores TT, Placa controladora, chassis impreso en 3D","Sensor ultrasónico, TB6612FNG, ESP32 30 pines, Adaptador batería, Switch, Cables jumper, 2 Motores TT, Placa controladora, Chassis 3D, Tornillos m3, Caja de Herramientas Plástica","Robot Evita Obstáculos. Programación de sensores ultrasónicos.",,,
kit-primero-bach,primero-bach,Robot Otto + Kit Práctico,"Robot otto (4 servo motores, impresión 3d, shield de arduino nano, arduino nano, cable de conexión, Cables jumper, sensor ultrasónico, buzzer, porta pilas AA×4)","4 Servo motores, Impresión 3D, Shield Arduino Nano, Arduino Nano, Cable conexión, Cables jumper, Sensor ultrasónico, Buzzer, Porta pilas AA×4, Caja de Herramientas Plástica","Robot Otto + Kit Práctico. Programación avanzada con Arduino.",,,
kit-segundo-bach,segundo-bach,Kit Robot Soccer y Mini Sumo,"Kit Robot soccer y mini sumo: tb6612fng, Esp32 de 30 pines, adaptador de batería, switch, Cables jumper, 2 motores reductores TT, Placa controladora, chassis impreso en 3D, juegos de tornillos y tuercas m3","TB6612FNG, ESP32 30 pines, Adaptador batería, Switch, Cables jumper, 2 Motores TT, Placa controladora, Chassis 3D impreso, Tornillos y tuercas m3, Caja de Herramientas Plástica","Profundización en STEM, robótica y electrónica. Desarrollo de proyectos integrados.",,,
kit-tercero-bach,tercero-bach,Kit IoT ESP32,"ESP32, sensor de temperatura, sensor de luz, sensor de humedad, relé, PCB, protoboard, Cables jumper, 6 LEDS, 1 RGB, interruptor","ESP32, Sensor temperatura, Sensor luz, Sensor humedad, Relé, PCB, Protoboard, Cables jumper, 6 LEDs, 1 RGB, Interruptor, Caja de Herramientas Plástica","Profundización en IOT, Internet de las cosas con Telegram. Proyectos de domótica.",,,
