id,levelId,title,description,type,category,difficulty,points,dueDate,isActive,questions,createdAt
task-ini1-1,inicial-1,¿Qué es un Robot?,Aprende los conceptos básicos de robótica,concept,robotica,basico,10,2026-03-01,true,"¿Qué es un robot?|Dibuja un robot y describe sus partes|¿Para qué sirven los robots?",2026-01-18
task-ini1-2,inicial-1,Materiales Electrónicos Básicos,Conoce los componentes que usaremos,concept,electronica,basico,10,2026-03-01,true,"¿Para qué sirve un LED?|¿Qué colores de LED conoces?|¿Qué es una batería?",2026-01-18
task-ini1-3,inicial-1,Colores y Luces,Aprende sobre los LEDs de colores,concept,electronica,basico,10,2026-03-15,true,"¿Cuántos colores de LED existen?|¿Cuál es tu color favorito de LED?|Dibuja un circuito con LED",2026-01-18
task-ini2-1,inicial-2,Partes de un Robot,Identifica las partes principales de un robot,concept,robotica,basico,15,2026-03-01,true,"¿Cuáles son las 3 partes principales de un robot?|¿Qué hace el cerebro del robot?|¿Qué son los sensores?",2026-01-18
task-ini2-2,inicial-2,Circuito Simple con LED,Aprende cómo funciona un circuito básico,concept,electronica,basico,15,2026-03-01,true,"¿Qué necesitas para encender un LED?|¿Por qué usamos una resistencia?|Dibuja un circuito simple",2026-01-18
task-ini2-3,inicial-2,Motores y Movimiento,Conoce cómo se mueven los robots,concept,robotica,basico,15,2026-03-15,true,"¿Qué es un motor?|¿Cómo hace un robot para moverse?|Nombra 3 cosas que usen motores",2026-01-18
task-1egb-1,primero-egb,Introducción a la Electrónica,Conceptos básicos de electricidad y componentes,concept,electronica,basico,20,2026-03-01,true,"¿Qué es la electricidad?|Nombra 3 componentes electrónicos|¿Qué es un circuito cerrado?",2026-01-18
task-1egb-2,primero-egb,Tipos de Robots,Conoce los diferentes tipos de robots,concept,robotica,basico,20,2026-03-15,true,"¿Qué tipos de robots conoces?|¿Qué es un robot industrial?|¿Qué es un robot de servicio?",2026-01-18
task-2egb-1,segundo-egb,Sensores y Actuadores,Aprende la diferencia entre sensores y actuadores,concept,robotica,basico,20,2026-03-01,true,"¿Qué es un sensor? Da un ejemplo|¿Qué es un actuador? Da un ejemplo|¿Cómo trabajan juntos?",2026-01-18
task-2egb-2,segundo-egb,Circuitos en Serie y Paralelo,Aprende los tipos de circuitos,concept,electronica,intermedio,25,2026-03-15,true,"¿Qué es un circuito en serie?|¿Qué es un circuito en paralelo?|¿Cuál es la diferencia?",2026-01-18
task-3egb-1,tercero-egb,Programación con Bloques,Conceptos de programación visual,concept,programacion,basico,25,2026-03-01,true,"¿Qué es un algoritmo?|¿Qué es un bucle o loop?|Explica qué es una condición IF",2026-01-18
task-3egb-2,tercero-egb,Scratch Básico,Primeros pasos en Scratch,concept,programacion,basico,25,2026-03-15,true,"¿Qué es Scratch?|¿Qué son los sprites?|¿Qué son los bloques de movimiento?",2026-01-18
task-4egb-1,cuarto-egb,Arduino Introducción,Conoce la placa Arduino,concept,electronica,intermedio,30,2026-03-01,true,"¿Qué es Arduino?|¿Para qué sirven los pines digitales?|¿Qué es un microcontrolador?",2026-01-18
task-4egb-2,cuarto-egb,Variables y Datos,Conceptos de programación,concept,programacion,intermedio,30,2026-03-15,true,"¿Qué es una variable?|¿Qué tipos de datos conoces?|¿Para qué sirven las variables?",2026-01-18
task-5egb-1,quinto-egb,Sensores Digitales y Analógicos,Tipos de sensores en robótica,concept,robotica,intermedio,30,2026-03-01,true,"¿Qué es un sensor digital?|¿Qué es un sensor analógico?|Da ejemplos de cada uno",2026-01-18
task-5egb-2,quinto-egb,Estructuras de Control,Programación intermedia,concept,programacion,intermedio,30,2026-03-15,true,"¿Qué es un bucle FOR?|¿Qué es un bucle WHILE?|¿Cuándo usar cada uno?",2026-01-18
task-6egb-1,sexto-egb,Comunicación Serial,Arduino y comunicación,concept,electronica,intermedio,35,2026-03-01,true,"¿Qué es la comunicación serial?|¿Para qué sirve el Monitor Serial?|¿Qué es el baudrate?",2026-01-18
task-6egb-2,sexto-egb,Funciones en Programación,Organiza tu código,concept,programacion,intermedio,35,2026-03-15,true,"¿Qué es una función?|¿Por qué usamos funciones?|¿Qué son los parámetros?",2026-01-18
task-7egb-1,septimo-egb,PWM y Control de Motores,Control avanzado de actuadores,concept,electronica,intermedio,40,2026-03-01,true,"¿Qué es PWM?|¿Cómo controlamos la velocidad de un motor?|¿Qué valores tiene PWM?",2026-01-18
task-7egb-2,septimo-egb,Proyecto: Robot Seguidor de Línea,Diseña tu robot,project,robotica,intermedio,50,2026-03-15,true,"¿Qué sensores necesitas?|¿Cómo funciona el algoritmo?|Dibuja el diagrama del circuito",2026-01-18
task-8egb-1,octavo-egb,Introducción a Python,Primeros pasos en Python,concept,programacion,intermedio,40,2026-03-01,true,"¿Qué es Python?|¿Qué es una variable en Python?|Escribe un programa que imprima tu nombre",2026-01-18
task-8egb-2,octavo-egb,Sensores Ultrasónicos,Medir distancias,concept,electronica,intermedio,40,2026-03-15,true,"¿Cómo funciona un sensor ultrasónico?|¿Qué es el eco?|¿Para qué sirve en robótica?",2026-01-18
task-9egb-1,noveno-egb,Listas y Diccionarios en Python,Estructuras de datos,concept,programacion,avanzado,45,2026-03-01,true,"¿Qué es una lista?|¿Qué es un diccionario?|¿Cuándo usar cada uno?",2026-01-18
task-9egb-2,noveno-egb,Servomotores,Control de posición,concept,electronica,avanzado,45,2026-03-15,true,"¿Qué es un servomotor?|¿Qué ángulos puede alcanzar?|¿Cómo se controla con Arduino?",2026-01-18
task-10egb-1,decimo-egb,Programación Orientada a Objetos,POO en Python,concept,programacion,avanzado,50,2026-03-01,true,"¿Qué es una clase?|¿Qué es un objeto?|¿Qué es un método?",2026-01-18
task-10egb-2,decimo-egb,Proyecto: Brazo Robótico,Diseña un brazo robótico,project,robotica,avanzado,60,2026-03-15,true,"¿Cuántos grados de libertad tiene?|¿Qué servos necesitas?|Describe el funcionamiento",2026-01-18
task-1bach-1,primero-bach,APIs y Servicios Web,Conecta tu proyecto a internet,concept,programacion,avanzado,50,2026-03-01,true,"¿Qué es una API?|¿Qué es REST?|¿Qué es JSON?",2026-01-18
task-1bach-2,primero-bach,IoT - Internet de las Cosas,Dispositivos conectados,concept,electronica,avanzado,50,2026-03-15,true,"¿Qué es IoT?|¿Qué es un ESP32?|¿Cómo se conecta a WiFi?",2026-01-18
task-2bach-1,segundo-bach,Machine Learning Básico,Introducción a IA,concept,ia,avanzado,55,2026-03-01,true,"¿Qué es Machine Learning?|¿Qué es un modelo?|¿Qué es entrenamiento?",2026-01-18
task-2bach-2,segundo-bach,Visión por Computadora,Procesamiento de imágenes,concept,ia,avanzado,55,2026-03-15,true,"¿Qué es OpenCV?|¿Cómo detectamos colores?|¿Qué es detección de objetos?",2026-01-18
task-3bach-1,tercero-bach,Proyecto Final: Robot Autónomo,Integra todo lo aprendido,project,robotica,avanzado,100,2026-05-01,true,"Describe tu proyecto|¿Qué tecnologías usarás?|¿Cuál es el objetivo?|Presenta tu código",2026-01-18
task-3bach-2,tercero-bach,Redes Neuronales,Deep Learning básico,concept,ia,avanzado,60,2026-03-15,true,"¿Qué es una neurona artificial?|¿Qué es una capa?|¿Qué es backpropagation?",2026-01-18
